store,id,brand,title,price_usd,sku,in_stock,image,local_image_path,store_url
Crist Fragrances,cf_10208437371155,Emper,Perfume Elixir 88 Stallion 53 Emper Eau De Parfum 100ml,15.75,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/Elixir88byStallion53.webp?v=1786118148,imagenes_perfumes\crist_fragrances\cf_10208437371155_Perfume_Elixir_88_Stallion_53_Emper_Eau_De_Parfum_100ml.webp,https://wholesale.cristfragances.com/products/perfume-elixir-88-stallion-53-emper-eau-de-parfum-100ml
Crist Fragrances,cf_10200808522003,Xerjoff,(TETER) Xerjoff 40 Knots By  Eau De Parfum Spray 3.4 Oz,169.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/xerjoff-unisex-40-knots-edp-spray-34-oz-tester-fragrances-8033488155308.jpg?v=1762923354,imagenes_perfumes\crist_fragrances\cf_10200808522003_(TETER)_Xerjoff_40_Knots_By_Eau_De_Parfum_Spray_3.4_Oz.jpg,https://wholesale.cristfragances.com/products/teter-xerjoff-40-knots-by-eau-de-parfum-spray-3-4-oz
Crist Fragrances,cf_10031455535379,Xerjoff,XERJOFF TORINO 21 UNISEX 100ML EDP,210.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/IMG_1600.jpg?v=1749836852,imagenes_perfumes\crist_fragrances\cf_10031455535379_XERJOFF_TORINO_21_UNISEX_100ML_EDP.jpg,https://wholesale.cristfragances.com/products/xerjoff-torino-21-unisex-100ml-edp-xerjoff
Crist Fragrances,cf_10199147774227,Lattafa,Lattafa Yara Body Oil 20 ml,18.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/40DB2FC0-11CE-45FC-96E1-D400B81AA79B_webp.jpg?v=1762796297,imagenes_perfumes\crist_fragrances\cf_10199147774227_Lattafa_Yara_Body_Oil_20_ml.jpg,https://wholesale.cristfragances.com/products/lattafa-yara-body-oil-20-ml
Crist Fragrances,cf_10198958145811,Crist Fragances - Wholesale,LV Imagination,415.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/louis-vuitton-imagination--LP0219_PM2_Frontview_png.avif?v=1762782918,imagenes_perfumes\crist_fragrances\cf_10198958145811_LV_Imagination.avif,https://wholesale.cristfragances.com/products/imagination-eau-de-100-ml
Crist Fragrances,cf_10199646503187,Lattafa,Lattafa Pride 5X20ml Giftset (AFFECTION),25.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/0D0BD656-A251-4E5F-BC04-B88B66F0C654_870x1131_webp.jpg?v=1769610664,imagenes_perfumes\crist_fragrances\cf_10199646503187_Lattafa_Pride_5X20ml_Giftset_(AFFECTION).jpg,https://wholesale.cristfragances.com/products/lattafa-pride-5x20ml-giftset-1
Crist Fragrances,cf_10185695920403,Paco Rabanne,(TESTER) Paco Rabanne Million Gold For Her Parfum Parfum,95.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/6a62e4979fff6c10a73365f61e34451a_jpg.webp?v=1762527099,imagenes_perfumes\crist_fragrances\cf_10185695920403_(TESTER)_Paco_Rabanne_Million_Gold_For_Her_Parfum_Parfum.webp,https://wholesale.cristfragances.com/products/tester-paco-rabanne-million-gold-for-her-parfum-parfum
Crist Fragrances,cf_10198957752595,Paco Rabanne,Paco Rabanne 1 ONE Million EDT Spray 3.4 oz For Men Tester,59.75,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/shopping-3.jpg?v=1762781168,imagenes_perfumes\crist_fragrances\cf_10198957752595_Paco_Rabanne_1_ONE_Million_EDT_Spray_3.4_oz_For_Men_Tester.jpg,https://wholesale.cristfragances.com/products/paco-rabanne-1-million-edt-spray-3-4-oz-for-men-tester
Crist Fragrances,cf_10185674129683,Crist Fragances - Wholesale,Couture Collection Rania,11.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/couture-Rania-scaled.jpg?v=1762526600,imagenes_perfumes\crist_fragrances\cf_10185674129683_Couture_Collection_Rania.jpg,https://wholesale.cristfragances.com/products/couture-collection-rania
Crist Fragrances,cf_10199639195923,Lattafa,Lattafa Pride 5X20ml Giftset (MOTO),25.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/0B3BD240-4937-4ADA-9786-04A81D571FE1_870x1131.jpg-2.webp?v=1769610562,imagenes_perfumes\crist_fragrances\cf_10199639195923_Lattafa_Pride_5X20ml_Giftset_(MOTO).webp,https://wholesale.cristfragances.com/products/lattafa-pride-5x20ml-giftset
Crist Fragrances,cf_10200799904019,Xerjoff,XERJOFF Torino 22 Eau De Parfum 50ML,159.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/UP8054320901877_2_jpg.avif?v=1762920155,imagenes_perfumes\crist_fragrances\cf_10200799904019_XERJOFF_Torino_22_Eau_De_Parfum_50ML.avif,https://wholesale.cristfragances.com/products/xerjoff-torino-22-eau-de-parfum-50ml
Crist Fragrances,cf_10198958440723,Crist Fragances - Wholesale,LV L'Immensité,415.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/louis-vuitton-l-immensite--LP0052_PM2_Front_view_png.avif?v=1762782908,imagenes_perfumes\crist_fragrances\cf_10198958440723_LV_L'Immensité.avif,https://wholesale.cristfragances.com/products/limmensite
Crist Fragrances,cf_10186629939475,Emper,Fifth Change Eau De Parfum 100ML by Emper Milestone,16.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/s-l1600-42.jpg?v=1762639171,imagenes_perfumes\crist_fragrances\cf_10186629939475_Fifth_Change_Eau_De_Parfum_100ML_by_Emper_Milestone.jpg,https://wholesale.cristfragances.com/products/fifth-change-eau-de-parfum-100ml-by-emper-milestone
Crist Fragrances,cf_10198959292691,Crist Fragances - Wholesale,LV California Dream,415.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/louis-vuitton-california-dream--LP0175_PM2_Frontview_png.avif?v=1762782002,imagenes_perfumes\crist_fragrances\cf_10198959292691_LV_California_Dream.avif,https://wholesale.cristfragances.com/products/california-dream
Crist Fragrances,cf_10185659089171,Crist Fragances - Wholesale,NOHO OF NEW YORK 85 ML,22.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/noho-of-newyork-2048x2048.jpg?v=1762525849,imagenes_perfumes\crist_fragrances\cf_10185659089171_NOHO_OF_NEW_YORK_85_ML.jpg,https://wholesale.cristfragances.com/products/noho-of-new-york-85-ml
Crist Fragrances,cf_10185657057555,Crist Fragances - Wholesale,FIFTH AVENUE OF NEW YORK 85 ML,22.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/Fifth-Avenue-of-Newyork-2048x2048.jpg?v=1762525125,imagenes_perfumes\crist_fragrances\cf_10185657057555_FIFTH_AVENUE_OF_NEW_YORK_85_ML.jpg,https://wholesale.cristfragances.com/products/fifth-avenue-of-new-york-85-ml
Crist Fragrances,cf_10185656566035,Crist Fragances - Wholesale,COUTURE COLLECTION NOURA 100 ML,16.0,,False,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/couture-noura-2048x2048.jpg?v=1762524999,imagenes_perfumes\crist_fragrances\cf_10185656566035_COUTURE_COLLECTION_NOURA_100_ML.jpg,https://wholesale.cristfragances.com/products/couture-collection-noura-100-ml
Crist Fragrances,cf_10198959030547,Crist Fragances - Wholesale,LV Pacific Chill,415.0,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/louis-vuitton-pacific-chill---LP0326_PM2_Frontview_png.avif?v=1762781899,imagenes_perfumes\crist_fragrances\cf_10198959030547_LV_Pacific_Chill.avif,https://wholesale.cristfragances.com/products/pacific-chill
Crist Fragrances,cf_10181163417875,French Avenue,French Avenue Amber Empire Eau De Parfum Spray,33.5,,True,https://cdn.shopify.com/s/files/1/0936/6713/1667/files/3_e5246bdd-702f-46f3-ab19-e3ca25968888_png.webp?v=1762296069,imagenes_perfumes\crist_fragrances\cf_10181163417875_French_Avenue_Amber_Empire_Eau_De_Parfum_Spray.webp,https://wholesale.cristfragances.com/products/french-avenue-amber-empire-eau-de-parfum-spray
